Printing Modifier Definitions:
Tag: diplomacy, Categories: character
Tag: oasis_advantage, Categories: combat
Tag: oasis_min_combat_roll, Categories: combat
Tag: oasis_max_combat_roll, Categories: combat
Tag: jungle_attrition_mult, Categories: combat
Tag: jungle_cancel_negative_supply, Categories: combat
Tag: jungle_advantage, Categories: combat
Tag: jungle_min_combat_roll, Categories: combat
Tag: jungle_max_combat_roll, Categories: combat
Tag: forest_attrition_mult, Categories: combat
Tag: forest_cancel_negative_supply, Categories: combat
Tag: forest_advantage, Categories: combat
Tag: forest_min_combat_roll, Categories: combat
Tag: forest_max_combat_roll, Categories: combat
Tag: taiga_attrition_mult, Categories: combat
Tag: taiga_cancel_negative_supply, Categories: combat
Tag: taiga_advantage, Categories: combat
Tag: taiga_min_combat_roll, Categories: combat
Tag: taiga_max_combat_roll, Categories: combat
Tag: wetlands_attrition_mult, Categories: combat
Tag: wetlands_cancel_negative_supply, Categories: combat
Tag: wetlands_advantage, Categories: combat
Tag: wetlands_min_combat_roll, Categories: combat
Tag: wetlands_max_combat_roll, Categories: combat
Tag: steppe_attrition_mult, Categories: combat
Tag: steppe_cancel_negative_supply, Categories: combat
Tag: steppe_advantage, Categories: combat
Tag: steppe_min_combat_roll, Categories: combat
Tag: steppe_max_combat_roll, Categories: combat
Tag: floodplains_attrition_mult, Categories: combat
Tag: floodplains_cancel_negative_supply, Categories: combat
Tag: floodplains_advantage, Categories: combat
Tag: floodplains_min_combat_roll, Categories: combat
Tag: floodplains_max_combat_roll, Categories: combat
Tag: drylands_attrition_mult, Categories: combat
Tag: drylands_cancel_negative_supply, Categories: combat
Tag: drylands_advantage, Categories: combat
Tag: drylands_min_combat_roll, Categories: combat
Tag: drylands_max_combat_roll, Categories: combat
Tag: heavy_infantry_max_size_add, Categories: character
Tag: heavy_infantry_max_size_mult, Categories: character
Tag: heavy_infantry_siege_value_add, Categories: character
Tag: heavy_infantry_siege_value_mult, Categories: character
Tag: heavy_infantry_damage_add, Categories: character
Tag: heavy_infantry_damage_mult, Categories: character
Tag: heavy_infantry_toughness_add, Categories: character
Tag: heavy_infantry_toughness_mult, Categories: character
Tag: heavy_infantry_pursuit_add, Categories: character
Tag: heavy_infantry_pursuit_mult, Categories: character
Tag: heavy_infantry_screen_add, Categories: character
Tag: heavy_infantry_screen_mult, Categories: character
Tag: pikemen_max_size_add, Categories: character
Tag: pikemen_max_size_mult, Categories: character
Tag: pikemen_siege_value_add, Categories: character
Tag: pikemen_siege_value_mult, Categories: character
Tag: pikemen_damage_add, Categories: character
Tag: pikemen_damage_mult, Categories: character
Tag: pikemen_toughness_add, Categories: character
Tag: pikemen_toughness_mult, Categories: character
Tag: pikemen_pursuit_add, Categories: character
Tag: pikemen_pursuit_mult, Categories: character
Tag: pikemen_screen_add, Categories: character
Tag: pikemen_screen_mult, Categories: character
Tag: archers_max_size_add, Categories: character
Tag: archers_max_size_mult, Categories: character
Tag: archers_siege_value_add, Categories: character
Tag: archers_siege_value_mult, Categories: character
Tag: archers_damage_add, Categories: character
Tag: archers_damage_mult, Categories: character
Tag: archers_toughness_add, Categories: character
Tag: archers_toughness_mult, Categories: character
Tag: archers_pursuit_add, Categories: character
Tag: archers_pursuit_mult, Categories: character
Tag: archers_screen_add, Categories: character
Tag: archers_screen_mult, Categories: character
Tag: light_cavalry_max_size_add, Categories: character
Tag: light_cavalry_max_size_mult, Categories: character
Tag: light_cavalry_siege_value_add, Categories: character
Tag: light_cavalry_siege_value_mult, Categories: character
Tag: light_cavalry_damage_add, Categories: character
Tag: light_cavalry_damage_mult, Categories: character
Tag: light_cavalry_toughness_add, Categories: character
Tag: light_cavalry_toughness_mult, Categories: character
Tag: light_cavalry_pursuit_add, Categories: character
Tag: light_cavalry_pursuit_mult, Categories: character
Tag: light_cavalry_screen_add, Categories: character
Tag: light_cavalry_screen_mult, Categories: character
Tag: heavy_cavalry_max_size_add, Categories: character
Tag: heavy_cavalry_max_size_mult, Categories: character
Tag: heavy_cavalry_siege_value_add, Categories: character
Tag: heavy_cavalry_siege_value_mult, Categories: character
Tag: heavy_cavalry_damage_add, Categories: character
Tag: heavy_cavalry_damage_mult, Categories: character
Tag: heavy_cavalry_toughness_add, Categories: character
Tag: heavy_cavalry_toughness_mult, Categories: character
Tag: heavy_cavalry_pursuit_add, Categories: character
Tag: heavy_cavalry_pursuit_mult, Categories: character
Tag: heavy_cavalry_screen_add, Categories: character
Tag: heavy_cavalry_screen_mult, Categories: character
Tag: skirmishers_max_size_add, Categories: character
Tag: skirmishers_max_size_mult, Categories: character
Tag: skirmishers_siege_value_add, Categories: character
Tag: skirmishers_siege_value_mult, Categories: character
Tag: skirmishers_damage_add, Categories: character
Tag: skirmishers_damage_mult, Categories: character
Tag: skirmishers_toughness_add, Categories: character
Tag: skirmishers_toughness_mult, Categories: character
Tag: skirmishers_pursuit_add, Categories: character
Tag: skirmishers_pursuit_mult, Categories: character
Tag: skirmishers_screen_add, Categories: character
Tag: skirmishers_screen_mult, Categories: character
Tag: siege_weapon_max_size_add, Categories: character
Tag: siege_weapon_max_size_mult, Categories: character
Tag: siege_weapon_siege_value_add, Categories: character
Tag: siege_weapon_siege_value_mult, Categories: character
Tag: siege_weapon_damage_add, Categories: character
Tag: siege_weapon_damage_mult, Categories: character
Tag: siege_weapon_toughness_add, Categories: character
Tag: siege_weapon_toughness_mult, Categories: character
Tag: siege_weapon_pursuit_add, Categories: character
Tag: siege_weapon_pursuit_mult, Categories: character
Tag: siege_weapon_screen_add, Categories: character
Tag: siege_weapon_screen_mult, Categories: character
